Code,Description
10001,"Afognak Lake, AK: Afognak Lake Airport"
10003,"Granite Mountain, AK: Bear Creek Mining Strip"
10004,"Lik, AK: Lik Mining Camp"
10005,"Little Squaw, AK: Little Squaw Airport"
10006,"Kizhuyak, AK: Kizhuyak Bay"
10007,"Klawock, AK: Klawock Seaplane Base"
10008,"Elizabeth Island, AK: Elizabeth Island Airport"
10009,"Homer, AK: Augustin Island"
10010,"Hudson, NY: Columbia County"
10011,"Peach Springs, AZ: Grand Canyon West"
10012,"Blairstown, NJ: Blairstown Airport"
10013,"Crosbyton, TX: Crosbyton Municipal"
10014,"Fairbanks/Ft. Wainwright, AK: Blair Lake"
10015,"Deadmans Bay, AK: Deadmans Bay Airport"
10016,"Hallo Bay, AK: Hallo Bay Airport"
10017,"Red Lake, AK: Red Lake Airport"
10018,"Shell Lake, AK: Shell Lake Airport"
10019,"Kougarok, AK: Navigator Airstrip"
10020,"Selawik, AK: Roland Norton Memorial"
10021,"Pillar Bay, AK: Pillar Bay Airport"
10022,"Johnstone Point, AK: Johnstone Point Airport"
10023,"Tikchik Lodge, AK: Tikchik Lodge Airport"
10024,"Bell Creek, AK: Bell Creek Airport"
10025,"Cinnabar, AK: Cinnabar Airport"
10026,"Mountaintop Mine, AK: Mountaintop Mine Airport"
10027,"Whitebear, AK: Whitebear Airport"
10028,"Puviaq, AK: Puviaq Airport"
10029,"Arley Lake, AK: Arley Lake Airport"
10030,"Port Vita, AK: Port Vita Airport"
10031,"Kantishna, AK: Kantishna Airport"
10033,"Alpine, AK: Alpine Airstrip"
10034,"Serpentine, AK: Serpentine Airport"
10035,"Driftwood Bay, AK: Driftwood Bay Airport"
10036,"Bradley Lake, AK: Bradley Lake Airport"
10037,"Chilkat Lake, AK: Chilkat Lake Airport"
10038,"Nugget Creek, AK: Nugget Creek Airport"
10039,"Ivotuk, AK: Ivotuk Airstrip"
10040,"Pogo Mines, AK: Pogo Mines Airport"
10041,"Ayakulik River, AK: Ayakulik River Airport"
10042,"Kiluda Bay, AK: Kiluda Bay Airport"
10043,"Terror Lake, AK: Terror Lake Airport"
10044,"Selief Bay, AK: Selief Bay Airport"
10047,"Laura Lake, AK: Laura Lake Airport"
10049,"Deep Bay, AK: Deep Bay Airport"
10050,"Kako, AK: Kako Airport"
10051,"Molly Creek, AK: Molly Creek Airport"
10052,"Ptarmigan Lake, AK: Ptarmigan Lake Airport"
10053,"Cape Simpson, AK: Cape Simpson Airport"
10054,"Kogru River, AK: Kogru River Airport"
10055,"Teshepkuk Lake, AK: Teshepkuk Lake Airport"
10056,"Kodiak Island, AK: Trident Basin Seaplane Base"
10058,"Lake Florence, AK: Lake Florence Airport"
10059,"Lake Hasselborg, AK: Lake Hasselborg Airport"
